"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","USDPPP","In 2022 constant prices at 2022 USD PPPs","2000","2000","USD","US Dollar","0","Units","2022","2022",48213.0886758407,,
"AUS","Australia","USDPPP","In 2022 constant prices at 2022 USD PPPs","2001","2001","USD","US Dollar","0","Units","2022","2022",48693.3022958347,,
"AUS","Australia","USDPPP","In 2022 constant prices at 2022 USD PPPs","2002","2002","USD","US Dollar","0","Units","2022","2022",49140.6312919188,,
"AUS","Australia","USDPPP","In 2022 constant prices at 2022 USD PPPs","2003","2003","USD","US Dollar","0","Units","2022","2022",49849.375153206,,
"AUS","Australia","USDPPP","In 2022 constant prices at 2022 USD PPPs","2004","2004","USD","US Dollar","0","Units","2022","2022",51414.3183931236,,
"AUS","Australia","USDPPP","In 2022 constant prices at 2022 USD PPPs","2005","2005","USD","US Dollar","0","Units","2022","2022",52013.9397458168,,
"AUS","Australia","USDPPP","In 2022 constant prices at 2022 USD PPPs","2006","2006","USD","US Dollar","0","Units","2022","2022",52368,,
"AUS","Australia","USDPPP","In 2022 constant prices at 2022 USD PPPs","2007","2007","USD","US Dollar","0","Units","2022","2022",53805,,
"AUS","Australia","USDPPP","In 2022 constant prices at 2022 USD PPPs","2008","2008","USD","US Dollar","0","Units","2022","2022",54149,,
"AUS","Australia","USDPPP","In 2022 constant prices at 2022 USD PPPs","2009","2009","USD","US Dollar","0","Units","2022","2022",53644,,
"AUS","Australia","USDPPP","In 2022 constant prices at 2022 USD PPPs","2010","2010","USD","US Dollar","0","Units","2022","2022",55536,,
"AUS","Australia","USDPPP","In 2022 constant prices at 2022 USD PPPs","2011","2011","USD","US Dollar","0","Units","2022","2022",57361,,
"AUS","Australia","USDPPP","In 2022 constant prices at 2022 USD PPPs","2012","2012","USD","US Dollar","0","Units","2022","2022",57752,,
"AUS","Australia","USDPPP","In 2022 constant prices at 2022 USD PPPs","2013","2013","USD","US Dollar","0","Units","2022","2022",57579,,
"AUS","Australia","USDPPP","In 2022 constant prices at 2022 USD PPPs","2014","2014","USD","US Dollar","0","Units","2022","2022",58102,,
"AUS","Australia","USDPPP","In 2022 constant prices at 2022 USD PPPs","2015","2015","USD","US Dollar","0","Units","2022","2022",57744,,
"AUS","Australia","USDPPP","In 2022 constant prices at 2022 USD PPPs","2016","2016","USD","US Dollar","0","Units","2022","2022",57885,,
"AUS","Australia","USDPPP","In 2022 constant prices at 2022 USD PPPs","2017","2017","USD","US Dollar","0","Units","2022","2022",57619,,
"AUS","Australia","USDPPP","In 2022 constant prices at 2022 USD PPPs","2018","2018","USD","US Dollar","0","Units","2022","2022",57843,,
"AUS","Australia","USDPPP","In 2022 constant prices at 2022 USD PPPs","2019","2019","USD","US Dollar","0","Units","2022","2022",58620,,
"AUS","Australia","USDPPP","In 2022 constant prices at 2022 USD PPPs","2020","2020","USD","US Dollar","0","Units","2022","2022",60377,,
"AUS","Australia","USDPPP","In 2022 constant prices at 2022 USD PPPs","2021","2021","USD","US Dollar","0","Units","2022","2022",60681.4985470798,,
"AUS","Australia","USDPPP","In 2022 constant prices at 2022 USD PPPs","2022","2022","USD","US Dollar","0","Units","2022","2022",59407.8899794982,,
"AUT","Austria","USDPPP","In 2022 constant prices at 2022 USD PPPs","2000","2000","USD","US Dollar","0","Units","2022","2022",57529.017471462,,
"AUT","Austria","USDPPP","In 2022 constant prices at 2022 USD PPPs","2001","2001","USD","US Dollar","0","Units","2022","2022",57344.6595639472,,
"AUT","Austria","USDPPP","In 2022 constant prices at 2022 USD PPPs","2002","2002","USD","US Dollar","0","Units","2022","2022",58229.1677845208,,
"AUT","Austria","USDPPP","In 2022 constant prices at 2022 USD PPPs","2003","2003","USD","US Dollar","0","Units","2022","2022",58368.8732080416,,
"AUT","Austria","USDPPP","In 2022 constant prices at 2022 USD PPPs","2004","2004","USD","US Dollar","0","Units","2022","2022",59473.2547857365,,
"AUT","Austria","USDPPP","In 2022 constant prices at 2022 USD PPPs","2005","2005","USD","US Dollar","0","Units","2022","2022",59801.3699326072,,
"AUT","Austria","USDPPP","In 2022 constant prices at 2022 USD PPPs","2006","2006","USD","US Dollar","0","Units","2022","2022",60698,,
"AUT","Austria","USDPPP","In 2022 constant prices at 2022 USD PPPs","2007","2007","USD","US Dollar","0","Units","2022","2022",61047,,
"AUT","Austria","USDPPP","In 2022 constant prices at 2022 USD PPPs","2008","2008","USD","US Dollar","0","Units","2022","2022",62081,,
"AUT","Austria","USDPPP","In 2022 constant prices at 2022 USD PPPs","2009","2009","USD","US Dollar","0","Units","2022","2022",63135,,
"AUT","Austria","USDPPP","In 2022 constant prices at 2022 USD PPPs","2010","2010","USD","US Dollar","0","Units","2022","2022",62831,,
"AUT","Austria","USDPPP","In 2022 constant prices at 2022 USD PPPs","2011","2011","USD","US Dollar","0","Units","2022","2022",62159,,
"AUT","Austria","USDPPP","In 2022 constant prices at 2022 USD PPPs","2012","2012","USD","US Dollar","0","Units","2022","2022",62515,,
"AUT","Austria","USDPPP","In 2022 constant prices at 2022 USD PPPs","2013","2013","USD","US Dollar","0","Units","2022","2022",62568,,
"AUT","Austria","USDPPP","In 2022 constant prices at 2022 USD PPPs","2014","2014","USD","US Dollar","0","Units","2022","2022",62801,,
"AUT","Austria","USDPPP","In 2022 constant prices at 2022 USD PPPs","2015","2015","USD","US Dollar","0","Units","2022","2022",63231,,
"AUT","Austria","USDPPP","In 2022 constant prices at 2022 USD PPPs","2016","2016","USD","US Dollar","0","Units","2022","2022",63860,,
"AUT","Austria","USDPPP","In 2022 constant prices at 2022 USD PPPs","2017","2017","USD","US Dollar","0","Units","2022","2022",63856,,
"AUT","Austria","USDPPP","In 2022 constant prices at 2022 USD PPPs","2018","2018","USD","US Dollar","0","Units","2022","2022",64101,,
"AUT","Austria","USDPPP","In 2022 constant prices at 2022 USD PPPs","2019","2019","USD","US Dollar","0","Units","2022","2022",64623,,
"AUT","Austria","USDPPP","In 2022 constant prices at 2022 USD PPPs","2020","2020","USD","US Dollar","0","Units","2022","2022",64648,,
"AUT","Austria","USDPPP","In 2022 constant prices at 2022 USD PPPs","2021","2021","USD","US Dollar","0","Units","2022","2022",65402.3162965476,,
"AUT","Austria","USDPPP","In 2022 constant prices at 2022 USD PPPs","2022","2022","USD","US Dollar","0","Units","2022","2022",63801.6204977341,,
"BEL","Belgium","USDPPP","In 2022 constant prices at 2022 USD PPPs","2000","2000","USD","US Dollar","0","Units","2022","2022",60929.1405210416,,
"BEL","Belgium","USDPPP","In 2022 constant prices at 2022 USD PPPs","2001","2001","USD","US Dollar","0","Units","2022","2022",61114.8303582574,,
"BEL","Belgium","USDPPP","In 2022 constant prices at 2022 USD PPPs","2002","2002","USD","US Dollar","0","Units","2022","2022",62692.5857677577,,
"BEL","Belgium","USDPPP","In 2022 constant prices at 2022 USD PPPs","2003","2003","USD","US Dollar","0","Units","2022","2022",63066.2951835172,,
"BEL","Belgium","USDPPP","In 2022 constant prices at 2022 USD PPPs","2004","2004","USD","US Dollar","0","Units","2022","2022",62735.500110825,,
"BEL","Belgium","USDPPP","In 2022 constant prices at 2022 USD PPPs","2005","2005","USD","US Dollar","0","Units","2022","2022",62139.9483473314,,
"BEL","Belgium","USDPPP","In 2022 constant prices at 2022 USD PPPs","2006","2006","USD","US Dollar","0","Units","2022","2022",62562,,
"BEL","Belgium","USDPPP","In 2022 constant prices at 2022 USD PPPs","2007","2007","USD","US Dollar","0","Units","2022","2022",62446,,
"BEL","Belgium","USDPPP","In 2022 constant prices at 2022 USD PPPs","2008","2008","USD","US Dollar","0","Units","2022","2022",62715,,
"BEL","Belgium","USDPPP","In 2022 constant prices at 2022 USD PPPs","2009","2009","USD","US Dollar","0","Units","2022","2022",63590,,
"BEL","Belgium","USDPPP","In 2022 constant prices at 2022 USD PPPs","2010","2010","USD","US Dollar","0","Units","2022","2022",63295,,
"BEL","Belgium","USDPPP","In 2022 constant prices at 2022 USD PPPs","2011","2011","USD","US Dollar","0","Units","2022","2022",63944,,
"BEL","Belgium","USDPPP","In 2022 constant prices at 2022 USD PPPs","2012","2012","USD","US Dollar","0","Units","2022","2022",64461,,
"BEL","Belgium","USDPPP","In 2022 constant prices at 2022 USD PPPs","2013","2013","USD","US Dollar","0","Units","2022","2022",65099,,
"BEL","Belgium","USDPPP","In 2022 constant prices at 2022 USD PPPs","2014","2014","USD","US Dollar","0","Units","2022","2022",65461,,
"BEL","Belgium","USDPPP","In 2022 constant prices at 2022 USD PPPs","2015","2015","USD","US Dollar","0","Units","2022","2022",65017,,
"BEL","Belgium","USDPPP","In 2022 constant prices at 2022 USD PPPs","2016","2016","USD","US Dollar","0","Units","2022","2022",65157,,
"BEL","Belgium","USDPPP","In 2022 constant prices at 2022 USD PPPs","2017","2017","USD","US Dollar","0","Units","2022","2022",64700,,
"BEL","Belgium","USDPPP","In 2022 constant prices at 2022 USD PPPs","2018","2018","USD","US Dollar","0","Units","2022","2022",65083,,
"BEL","Belgium","USDPPP","In 2022 constant prices at 2022 USD PPPs","2019","2019","USD","US Dollar","0","Units","2022","2022",65700,,
"BEL","Belgium","USDPPP","In 2022 constant prices at 2022 USD PPPs","2020","2020","USD","US Dollar","0","Units","2022","2022",63677,,
"BEL","Belgium","USDPPP","In 2022 constant prices at 2022 USD PPPs","2021","2021","USD","US Dollar","0","Units","2022","2022",65520.8213051768,,
"BEL","Belgium","USDPPP","In 2022 constant prices at 2022 USD PPPs","2022","2022","USD","US Dollar","0","Units","2022","2022",64847.6238808182,,
"CAN","Canada","USDPPP","In 2022 constant prices at 2022 USD PPPs","2000","2000","USD","US Dollar","0","Units","2022","2022",46526.3392846538,,
"CAN","Canada","USDPPP","In 2022 constant prices at 2022 USD PPPs","2001","2001","USD","US Dollar","0","Units","2022","2022",46335.1849867502,,
"CAN","Canada","USDPPP","In 2022 constant prices at 2022 USD PPPs","2002","2002","USD","US Dollar","0","Units","2022","2022",45961.5604238959,,
"CAN","Canada","USDPPP","In 2022 constant prices at 2022 USD PPPs","2003","2003","USD","US Dollar","0","Units","2022","2022",45975.7501748327,,
"CAN","Canada","USDPPP","In 2022 constant prices at 2022 USD PPPs","2004","2004","USD","US Dollar","0","Units","2022","2022",46969.1181742113,,
"CAN","Canada","USDPPP","In 2022 constant prices at 2022 USD PPPs","2005","2005","USD","US Dollar","0","Units","2022","2022",48325.7446445807,,
"CAN","Canada","USDPPP","In 2022 constant prices at 2022 USD PPPs","2006","2006","USD","US Dollar","0","Units","2022","2022",49797,,
"CAN","Canada","USDPPP","In 2022 constant prices at 2022 USD PPPs","2007","2007","USD","US Dollar","0","Units","2022","2022",51127,,
"CAN","Canada","USDPPP","In 2022 constant prices at 2022 USD PPPs","2008","2008","USD","US Dollar","0","Units","2022","2022",52025,,
"CAN","Canada","USDPPP","In 2022 constant prices at 2022 USD PPPs","2009","2009","USD","US Dollar","0","Units","2022","2022",52363,,
"CAN","Canada","USDPPP","In 2022 constant prices at 2022 USD PPPs","2010","2010","USD","US Dollar","0","Units","2022","2022",52457,,
"CAN","Canada","USDPPP","In 2022 constant prices at 2022 USD PPPs","2011","2011","USD","US Dollar","0","Units","2022","2022",53088,,
"CAN","Canada","USDPPP","In 2022 constant prices at 2022 USD PPPs","2012","2012","USD","US Dollar","0","Units","2022","2022",53717,,
"CAN","Canada","USDPPP","In 2022 constant prices at 2022 USD PPPs","2013","2013","USD","US Dollar","0","Units","2022","2022",54286,,
"CAN","Canada","USDPPP","In 2022 constant prices at 2022 USD PPPs","2014","2014","USD","US Dollar","0","Units","2022","2022",54995,,
